Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 29.8145 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 146.3009 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 270.3818 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 101.5848 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 538.6857 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 954.5606 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 100.7524 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 489.5923 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 919.6799 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 98.4412 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 486.7696 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 922.1973 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 102.5596 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 534.3224 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 947.6628 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 103.5217 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 528.0338 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 922.2820 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 100.8840 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 486.8270 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 904.4021 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 102.4906 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 487.5495 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 902.6208 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 101.0419 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 497.0942 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 902.3532 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 100.6800 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 487.7428 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 900.7715 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 96.9673 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 490.2757 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 904.3022 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 233.5955 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1207.1913 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2308.0105 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 235.2775 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1210.0065 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2240.9195 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 242.9801 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1209.2335 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2248.2131 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 237.2826 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1213.7575 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2248.2245 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 241.4686 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1210.9947 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2245.3083 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 239.3310 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1210.6745 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2249.4817 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 238.4421 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1206.2565 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2229.9232 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 240.7478 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 1207.4463 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 2262.4860 ms;
