Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 2.4989 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 0.3972 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 1.4874 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 3.0871 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8044 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.3317 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5876 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8121 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.2107 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5436 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8274 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.2054 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5709 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.7817 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.1603 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.8231 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8620 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.3053 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5357 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8481 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.2310 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5593 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.7821 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.1582 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5915 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.7992 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.2229 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.6007 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8150 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.2168 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5981 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 0.8075 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 3.1969 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 5.5747 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.4027 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.5928 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 9.5882 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.3453 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.6163 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 9.9389 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.3534 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.7267 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 9.8591 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.3740 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.5940 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 9.8629 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.4398 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.7723 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 9.8665 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.4078 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.6715 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 10.3172 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.3500 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.6007 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 9.7689 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.3361 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 10.4570 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 10.5728 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 2.5915 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 8.8228 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 10.2082 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.10; Czas: 1.5013 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.50; Czas: 5.6917 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 600; Nasycenie: 0.90; Czas: 10.2919 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.1840 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.7890 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.3232 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.0780 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.8703 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.2141 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.1523 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.7279 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 14.8734 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.0400 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.9132 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.4845 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.1308 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.7348 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.4785 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.0460 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.7491 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.1802 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.1027 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.9680 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.9884 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.3537 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.8206 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.3801 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.2301 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.7722 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.2095 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.10; Czas: 2.1548 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.50; Czas: 8.8307 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 750; Nasycenie: 0.90; Czas: 15.2518 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.9750 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.1900 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 22.0359 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 3.9658 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.5458 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.9563 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.9616 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.5369 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.3929 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.9846 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.3937 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.8335 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.9301 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.5733 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 22.6418 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 3.0946 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.5733 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.2575 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.9390 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.4590 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.7771 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 3.1847 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.8200 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 22.4060 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.9631 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.2223 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.8357 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.10; Czas: 2.8316 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.50; Czas: 12.6449 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 900; Nasycenie: 0.90; Czas: 21.6693 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.9446 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.4194 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 28.7948 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 4.0107 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.8893 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 29.6625 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.8885 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 17.0018 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 30.8573 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.9408 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.9085 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 30.3003 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.9528 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.7881 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 29.7561 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.8686 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.9265 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 29.6905 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.10; Czas: 3.8354 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.50; Czas: 16.4349 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 1050; Nasycenie: 0.90; Czas: 29.6744 ms;
