Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2864.2909 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 3009.1391 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2969.9073 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2894.9162 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 3324.7674 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2858.8670 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2958.7874 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2923.4566 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 2894.5498 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 3281.8321 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5226.7813 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5211.2805 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5477.5327 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5252.7294 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5205.3036 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5634.8214 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5214.8294 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 5420.2393 ms;
