Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.60; Czas: 7853.1534 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.60; Czas: 7721.5464 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.60; Czas: 7903.6480 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.60; Czas: 7614.6259 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.60; Czas: 7839.3325 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 9033.1895 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 9133.7214 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 9174.4379 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 8993.6683 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 8984.9156 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 8903.2923 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 9001.8102 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 9195.1109 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 8808.9225 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.70; Czas: 9153.4275 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10583.9420 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10086.3056 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10604.2732 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10398.3085 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10464.6468 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10266.5024 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10557.6726 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10442.9052 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10093.5010 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.80; Czas: 10364.3508 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11686.4729 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11687.9263 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11576.5171 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11500.4033 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11807.8909 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11686.2958 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11755.3746 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11622.9717 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11415.0421 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.90; Czas: 11641.2275 ms;
