Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 66.9864 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 370.8446 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 556.4743 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 213.7460 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 997.6303 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1827.9104 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 207.6969 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 996.4752 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1823.2504 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 209.9454 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 985.4309 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1812.5181 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 216.6456 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 985.4895 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1820.9964 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 209.3840 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 990.2316 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1997.7993 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 213.1139 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 981.0090 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1831.0917 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 217.4606 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 1000.2535 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1819.7913 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 210.6733 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 988.3015 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1809.7618 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 215.4655 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 974.8625 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1825.7513 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.10; Czas: 209.4847 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.50; Czas: 1076.3602 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 450; Nasycenie: 0.90; Czas: 1961.5644 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 496.2509 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 2442.3286 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 4549.6745 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 494.1940 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 2440.7827 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 4731.0980 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 499.7271 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 2438.4039 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 4549.5686 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 495.2802 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 2441.4991 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 4649.6118 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 503.8366 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.50; Czas: 2432.1807 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.90; Czas: 4566.7222 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 600; Nasycenie: 0.10; Czas: 500.7647 ms;
