Typ;N;Srednia_ms;Odchylenie_ms
random;500;0.7476;0.0319
random;1000;1.7124;0.0673
random;2000;4.0216;0.0918
random;4000;8.9418;0.2799
random;8000;19.5932;0.7244
random;16000;43.0810;1.1526
random;32000;96.1384;1.1520
random;64000;216.6113;4.9757
random;128000;502.6930;8.2228
random;256000;1083.5318;26.0857
growing;500;0.6665;0.0139
growing;1000;1.6700;0.0579
growing;2000;3.6356;0.1757
growing;4000;7.9871;0.2814
growing;8000;18.0240;0.4772
growing;16000;39.6741;1.0977
growing;32000;86.8426;1.6618
growing;64000;187.6977;2.6870
growing;128000;402.3820;4.2349
growing;256000;857.5654;7.1783
descending;500;2.1572;0.0559
descending;1000;4.8719;0.1228
descending;2000;10.9150;0.2740
descending;4000;24.5841;0.6117
descending;8000;54.0657;1.2451
descending;16000;116.2647;1.4781
descending;32000;248.0418;2.1735
descending;64000;534.9573;5.7991
descending;128000;1159.4336;31.3460
descending;256000;2440.2517;38.7365
a-shaped;500;2.0204;0.0412
a-shaped;1000;4.2995;0.1588
a-shaped;2000;9.5358;0.1096
a-shaped;4000;21.8886;0.4526
a-shaped;8000;48.6038;1.8873
a-shaped;16000;105.4656;1.0844
a-shaped;32000;228.2283;2.5458
a-shaped;64000;491.3256;3.0517
a-shaped;128000;1065.7382;7.8775
a-shaped;256000;2320.2039;60.3323
v-shaped;500;2.3008;0.0568
v-shaped;1000;5.1267;0.0417
v-shaped;2000;11.6198;0.2255
v-shaped;4000;25.3302;0.2645
v-shaped;8000;55.7627;0.6795
v-shaped;16000;121.2337;1.1931
v-shaped;32000;262.6674;4.0965
v-shaped;64000;562.9816;15.3320
v-shaped;128000;1129.8859;12.6168
v-shaped;256000;2368.9218;13.2680
