Typ;N;Srednia_ms;Odchylenie_ms
random;500;0.5610;0.0869
random;1000;1.1740;0.0520
random;2000;2.4846;0.0512
random;4000;5.5619;0.1613
random;8000;12.2586;0.4422
random;16000;26.1943;0.7763
random;32000;56.8142;1.5797
random;64000;120.5344;2.2211
random;128000;260.9024;2.6428
random;256000;574.4603;7.1897
growing;500;0.4297;0.0547
growing;1000;0.8687;0.0255
growing;2000;1.8852;0.0867
growing;4000;3.8620;0.1755
growing;8000;7.7554;0.1837
growing;16000;16.6380;0.6773
growing;32000;35.9906;0.7569
growing;64000;77.2305;1.5399
growing;128000;167.7502;3.1636
growing;256000;342.5947;5.6666
descending;500;0.8002;0.0462
descending;1000;1.6345;0.0316
descending;2000;3.2942;0.1526
descending;4000;6.8595;0.5500
descending;8000;14.3508;0.3894
descending;16000;29.4590;0.5322
descending;32000;61.8719;0.5982
descending;64000;128.5589;1.9772
descending;128000;281.4920;18.6637
descending;256000;551.1890;5.1981
a-shaped;500;0.8108;0.0097
a-shaped;1000;1.6715;0.0213
a-shaped;2000;3.4524;0.0709
a-shaped;4000;7.0316;0.0775
a-shaped;8000;14.4729;0.0984
a-shaped;16000;30.6473;0.5768
a-shaped;32000;63.1566;0.9528
a-shaped;64000;130.9026;3.2741
a-shaped;128000;269.8097;3.1294
a-shaped;256000;568.7676;9.8734
v-shaped;500;0.8379;0.0209
v-shaped;1000;1.7306;0.1163
v-shaped;2000;3.4256;0.0346
v-shaped;4000;7.1962;0.1241
v-shaped;8000;15.0418;0.1775
v-shaped;16000;31.2710;0.4909
v-shaped;32000;64.9010;0.4733
v-shaped;64000;136.1482;1.2148
v-shaped;128000;282.1126;2.6444
v-shaped;256000;598.6826;22.1977
