Typ;N;Srednia_ms;Odchylenie_ms
random;5000;5.5018;0.1808
random;10000;13.6312;3.0466
random;15000;20.7568;1.1642
random;20000;27.7012;1.9014
random;25000;42.4423;15.3488
random;30000;52.6161;7.4980
growing;5000;641.2742;31.8964
growing;10000;2828.0394;366.7085
growing;15000;5725.9003;598.5633
growing;20000;11926.6537;210.8447
growing;25000;16503.0174;2236.3753
growing;30000;21076.2861;366.4654
descending;5000;949.1429;8.8510
descending;10000;3808.6660;37.9759
descending;15000;8658.7941;189.5239
descending;20000;15444.7168;320.6097
descending;25000;51993.2312;89273.3977
descending;30000;34555.6609;589.6847
a-shaped;5000;1846.5087;33.3934
a-shaped;10000;7468.3658;239.0141
a-shaped;15000;16548.6558;282.7581
a-shaped;20000;30056.5653;1021.6656
a-shaped;25000;71007.1145;21390.4001
a-shaped;30000;119054.0298;7774.2987
v-shaped;5000;767.4680;82.8797
v-shaped;10000;3141.0896;164.7369
v-shaped;15000;6964.6515;147.6995
v-shaped;20000;12751.5696;806.0922
v-shaped;25000;14559.3489;1772.0692
v-shaped;30000;27845.0875;884.7845
