Typ;N;Srednia_ms;Odchylenie_ms
random;500;0.4639;0.0164
random;1000;1.2233;0.0727
random;2000;2.8536;0.1362
random;4000;6.9309;0.3979
random;8000;17.0443;1.0435
random;16000;38.6449;1.2912
random;32000;94.6581;4.8627
random;64000;223.7802;6.8504
random;128000;566.3286;26.5179
random;256000;1265.8716;38.6668
growing;500;0.3237;0.0077
growing;1000;0.7061;0.0185
growing;2000;1.5179;0.0256
growing;4000;3.7150;0.1091
growing;8000;8.1064;0.1499
growing;16000;18.7764;1.5178
growing;32000;38.3438;0.2192
growing;64000;78.5033;0.4684
growing;128000;184.1132;1.1129
growing;256000;439.0878;7.8429
descending;500;0.5170;0.0103
descending;1000;1.1576;0.0158
descending;2000;2.6480;0.0337
descending;4000;5.8463;0.1088
descending;8000;12.6706;0.1760
descending;16000;27.3980;0.3125
descending;32000;58.4753;0.6823
descending;64000;126.4405;2.1522
descending;128000;266.8957;5.0958
descending;256000;562.0403;6.3330
a-shaped;500;0.8507;0.0446
a-shaped;1000;1.8624;0.0686
a-shaped;2000;4.0518;0.1281
a-shaped;4000;8.8310;0.2635
a-shaped;8000;19.6169;0.4737
a-shaped;16000;45.1813;2.8496
a-shaped;32000;93.8605;1.6843
a-shaped;64000;198.4565;4.0558
a-shaped;128000;425.4613;1.7984
a-shaped;256000;891.1959;8.8651
v-shaped;500;0.8057;0.0307
v-shaped;1000;1.7438;0.0387
v-shaped;2000;4.0323;0.1493
v-shaped;4000;9.1497;0.2971
v-shaped;8000;19.5755;0.3948
v-shaped;16000;42.6568;0.5746
v-shaped;32000;92.5784;1.4425
v-shaped;64000;195.0841;2.3897
v-shaped;128000;427.1690;2.6991
v-shaped;256000;909.8629;14.6188
