Typ;N;Srednia_ms;Odchylenie_ms
random;500;0.7401;0.1113
random;1000;1.0030;0.3397
random;2000;3.3218;0.8116
random;4000;9.9148;1.7939
random;8000;17.5887;0.8242
random;16000;38.6474;1.9523
random;32000;83.1220;2.5169
growing;500;10.3178;0.2474
growing;1000;44.8830;1.3521
growing;2000;182.0405;1.9475
growing;4000;720.1457;20.7612
growing;8000;2902.7015;62.5520
growing;16000;11494.2663;70.4127
growing;32000;45901.5584;518.4907
descending;500;17.8000;1.8440
descending;1000;72.8909;3.6711
descending;2000;288.9532;9.3076
descending;4000;1151.6725;25.2305
descending;8000;4515.5879;84.6911
descending;16000;17982.9584;176.1550
descending;32000;61829.8502;15392.0866
a-shaped;500;18.0065;0.6326
a-shaped;1000;73.0947;1.4127
a-shaped;2000;295.7459;6.9811
a-shaped;4000;1180.3686;4.7979
a-shaped;8000;4746.9914;14.6267
a-shaped;16000;18847.1472;116.1779
a-shaped;32000;77024.6517;566.2536
v-shaped;500;5.9771;0.1316
v-shaped;1000;23.2013;0.2724
v-shaped;2000;91.2927;0.8736
v-shaped;4000;364.2239;2.7551
v-shaped;8000;1438.3812;14.4723
v-shaped;16000;5793.4433;150.7002
v-shaped;32000;23201.6511;415.5982
