Algorytm: AZ; n: 20; b: 110; Czas: 0.0364
Algorytm: AZ; n: 20; b: 110; Czas: 0.0113
Algorytm: AZ; n: 20; b: 110; Czas: 0.0354
Algorytm: AZ; n: 20; b: 110; Czas: 0.0113
Algorytm: AZ; n: 20; b: 120; Czas: 0.0109
Algorytm: AZ; n: 20; b: 120; Czas: 0.0110
Algorytm: AZ; n: 20; b: 120; Czas: 0.0363
Algorytm: AZ; n: 20; b: 120; Czas: 0.0409
Algorytm: AZ; n: 20; b: 120; Czas: 0.0381
Algorytm: AZ; n: 20; b: 120; Czas: 0.0114
Algorytm: AZ; n: 20; b: 120; Czas: 0.0393
Algorytm: AZ; n: 20; b: 120; Czas: 0.0361
Algorytm: AZ; n: 20; b: 120; Czas: 0.0118
Algorytm: AZ; n: 20; b: 120; Czas: 0.0109
Algorytm: AZ; n: 20; b: 130; Czas: 0.0372
Algorytm: AZ; n: 20; b: 130; Czas: 0.0292
Algorytm: AZ; n: 20; b: 130; Czas: 0.0116
Algorytm: AZ; n: 20; b: 130; Czas: 0.0113
Algorytm: AZ; n: 20; b: 130; Czas: 0.0118
Algorytm: AZ; n: 20; b: 130; Czas: 0.0355
Algorytm: AZ; n: 20; b: 130; Czas: 0.0366
Algorytm: AZ; n: 20; b: 130; Czas: 0.0384
Algorytm: AZ; n: 20; b: 130; Czas: 0.0389
Algorytm: AZ; n: 20; b: 130; Czas: 0.0110
Algorytm: AZ; n: 20; b: 140; Czas: 0.0281
Algorytm: AZ; n: 20; b: 140; Czas: 0.0373
Algorytm: AZ; n: 20; b: 140; Czas: 0.0110
Algorytm: AZ; n: 20; b: 140; Czas: 0.0364
Algorytm: AZ; n: 20; b: 140; Czas: 0.0381
Algorytm: AZ; n: 20; b: 140; Czas: 0.0386
Algorytm: AZ; n: 20; b: 140; Czas: 0.0112
Algorytm: AZ; n: 20; b: 140; Czas: 0.0350
Algorytm: AZ; n: 20; b: 140; Czas: 0.0111
Algorytm: AZ; n: 20; b: 140; Czas: 0.0160
Algorytm: AZ; n: 20; b: 150; Czas: 0.0115
Algorytm: AZ; n: 20; b: 150; Czas: 0.0398
Algorytm: AZ; n: 20; b: 150; Czas: 0.0374
Algorytm: AZ; n: 20; b: 150; Czas: 0.0359
Algorytm: AZ; n: 20; b: 150; Czas: 0.0112
Algorytm: AZ; n: 20; b: 150; Czas: 0.0352
Algorytm: AZ; n: 20; b: 150; Czas: 0.0113
Algorytm: AZ; n: 20; b: 150; Czas: 0.0377
Algorytm: AZ; n: 20; b: 150; Czas: 0.0342
Algorytm: AZ; n: 20; b: 150; Czas: 0.0358
