Algorytm: AB; n: 20; b: 110; Czas: 1825.5327
Algorytm: AB; n: 20; b: 110; Czas: 2064.0160
Algorytm: AB; n: 20; b: 110; Czas: 1789.1182
Algorytm: AB; n: 20; b: 110; Czas: 1789.7891
Algorytm: AB; n: 20; b: 120; Czas: 1804.8126
Algorytm: AB; n: 20; b: 120; Czas: 1800.6680
Algorytm: AB; n: 20; b: 120; Czas: 1801.9183
Algorytm: AB; n: 20; b: 120; Czas: 1781.9798
Algorytm: AB; n: 20; b: 120; Czas: 1797.3053
Algorytm: AB; n: 20; b: 120; Czas: 1938.1731
Algorytm: AB; n: 20; b: 120; Czas: 1769.8390
Algorytm: AB; n: 20; b: 120; Czas: 1815.0127
Algorytm: AB; n: 20; b: 120; Czas: 1814.2188
Algorytm: AB; n: 20; b: 120; Czas: 1787.7806
Algorytm: AB; n: 20; b: 130; Czas: 1810.6027
Algorytm: AB; n: 20; b: 130; Czas: 1780.7561
Algorytm: AB; n: 20; b: 130; Czas: 1808.7782
Algorytm: AB; n: 20; b: 130; Czas: 2114.7326
Algorytm: AB; n: 20; b: 130; Czas: 1815.0839
Algorytm: AB; n: 20; b: 130; Czas: 1797.0001
Algorytm: AB; n: 20; b: 130; Czas: 1800.7501
Algorytm: AB; n: 20; b: 130; Czas: 1780.9182
Algorytm: AB; n: 20; b: 130; Czas: 1787.6305
Algorytm: AB; n: 20; b: 130; Czas: 1777.2767
Algorytm: AB; n: 20; b: 140; Czas: 1799.2193
Algorytm: AB; n: 20; b: 140; Czas: 1925.2199
Algorytm: AB; n: 20; b: 140; Czas: 1801.2086
Algorytm: AB; n: 20; b: 140; Czas: 1778.3541
Algorytm: AB; n: 20; b: 140; Czas: 1812.8956
Algorytm: AB; n: 20; b: 140; Czas: 1772.5675
Algorytm: AB; n: 20; b: 140; Czas: 1791.3106
Algorytm: AB; n: 20; b: 140; Czas: 1778.5929
Algorytm: AB; n: 20; b: 140; Czas: 1784.0670
Algorytm: AB; n: 20; b: 140; Czas: 1793.1889
Algorytm: AB; n: 20; b: 150; Czas: 2073.2757
Algorytm: AB; n: 20; b: 150; Czas: 1809.6333
Algorytm: AB; n: 20; b: 150; Czas: 1805.1472
Algorytm: AB; n: 20; b: 150; Czas: 1814.2110
Algorytm: AB; n: 20; b: 150; Czas: 1783.4622
Algorytm: AB; n: 20; b: 150; Czas: 1761.5939
Algorytm: AB; n: 20; b: 150; Czas: 1788.2814
Algorytm: AB; n: 20; b: 150; Czas: 1802.3729
Algorytm: AB; n: 20; b: 150; Czas: 1933.5482
Algorytm: AB; n: 20; b: 150; Czas: 1750.8409
