Algorytm: AB; n: 4; b: 50; Czas: 0.0175
Algorytm: AB; n: 4; b: 50; Czas: 0.0157
Algorytm: AB; n: 4; b: 50; Czas: 0.0177
Algorytm: AB; n: 4; b: 50; Czas: 0.0115
Algorytm: AB; n: 4; b: 50; Czas: 0.0118
Algorytm: AB; n: 4; b: 50; Czas: 0.0116
Algorytm: AB; n: 4; b: 50; Czas: 0.0126
Algorytm: AB; n: 4; b: 50; Czas: 0.0116
Algorytm: AB; n: 4; b: 50; Czas: 0.0115
Algorytm: AB; n: 4; b: 50; Czas: 0.0113
Algorytm: AB; n: 6; b: 50; Czas: 0.0418
Algorytm: AB; n: 6; b: 50; Czas: 0.0441
Algorytm: AB; n: 6; b: 50; Czas: 0.0427
Algorytm: AB; n: 6; b: 50; Czas: 0.0418
Algorytm: AB; n: 6; b: 50; Czas: 0.0428
Algorytm: AB; n: 6; b: 50; Czas: 0.0421
Algorytm: AB; n: 6; b: 50; Czas: 0.0419
Algorytm: AB; n: 6; b: 50; Czas: 0.0436
Algorytm: AB; n: 6; b: 50; Czas: 0.0430
Algorytm: AB; n: 6; b: 50; Czas: 0.0426
Algorytm: AB; n: 8; b: 50; Czas: 0.1877
Algorytm: AB; n: 8; b: 50; Czas: 0.1905
Algorytm: AB; n: 8; b: 50; Czas: 0.1858
Algorytm: AB; n: 8; b: 50; Czas: 0.1884
Algorytm: AB; n: 8; b: 50; Czas: 0.1883
Algorytm: AB; n: 8; b: 50; Czas: 0.1889
Algorytm: AB; n: 8; b: 50; Czas: 0.1964
Algorytm: AB; n: 8; b: 50; Czas: 0.2904
Algorytm: AB; n: 8; b: 50; Czas: 0.1941
Algorytm: AB; n: 8; b: 50; Czas: 0.1874
Algorytm: AB; n: 10; b: 50; Czas: 0.9035
Algorytm: AB; n: 10; b: 50; Czas: 0.9092
Algorytm: AB; n: 10; b: 50; Czas: 0.9576
Algorytm: AB; n: 10; b: 50; Czas: 0.9127
Algorytm: AB; n: 10; b: 50; Czas: 0.9023
Algorytm: AB; n: 10; b: 50; Czas: 0.9046
Algorytm: AB; n: 10; b: 50; Czas: 0.9314
Algorytm: AB; n: 10; b: 50; Czas: 0.9291
Algorytm: AB; n: 10; b: 50; Czas: 0.9175
Algorytm: AB; n: 10; b: 50; Czas: 0.9118
Algorytm: AB; n: 12; b: 50; Czas: 4.3785
Algorytm: AB; n: 12; b: 50; Czas: 4.3625
Algorytm: AB; n: 12; b: 50; Czas: 4.2829
Algorytm: AB; n: 12; b: 50; Czas: 4.3686
Algorytm: AB; n: 12; b: 50; Czas: 4.8073
Algorytm: AB; n: 12; b: 50; Czas: 4.3593
Algorytm: AB; n: 12; b: 50; Czas: 4.4047
Algorytm: AB; n: 12; b: 50; Czas: 4.3699
Algorytm: AB; n: 12; b: 50; Czas: 4.3282
Algorytm: AB; n: 12; b: 50; Czas: 4.4043
Algorytm: AB; n: 14; b: 50; Czas: 20.0682
Algorytm: AB; n: 14; b: 50; Czas: 20.1734
Algorytm: AB; n: 14; b: 50; Czas: 20.8267
Algorytm: AB; n: 14; b: 50; Czas: 20.2726
Algorytm: AB; n: 14; b: 50; Czas: 20.1672
Algorytm: AB; n: 14; b: 50; Czas: 20.2717
Algorytm: AB; n: 14; b: 50; Czas: 20.0843
Algorytm: AB; n: 14; b: 50; Czas: 21.0846
Algorytm: AB; n: 14; b: 50; Czas: 20.2537
Algorytm: AB; n: 14; b: 50; Czas: 20.1553
Algorytm: AB; n: 16; b: 50; Czas: 93.2959
Algorytm: AB; n: 16; b: 50; Czas: 91.2536
Algorytm: AB; n: 16; b: 50; Czas: 91.5605
Algorytm: AB; n: 16; b: 50; Czas: 91.7894
Algorytm: AB; n: 16; b: 50; Czas: 91.6678
Algorytm: AB; n: 16; b: 50; Czas: 92.0470
Algorytm: AB; n: 16; b: 50; Czas: 91.3986
Algorytm: AB; n: 16; b: 50; Czas: 90.9502
Algorytm: AB; n: 16; b: 50; Czas: 90.2014
Algorytm: AB; n: 16; b: 50; Czas: 93.0629
Algorytm: AB; n: 18; b: 50; Czas: 408.0530
Algorytm: AB; n: 18; b: 50; Czas: 412.2208
Algorytm: AB; n: 18; b: 50; Czas: 416.8866
Algorytm: AB; n: 18; b: 50; Czas: 408.5959
Algorytm: AB; n: 18; b: 50; Czas: 415.4244
Algorytm: AB; n: 18; b: 50; Czas: 416.6272
Algorytm: AB; n: 18; b: 50; Czas: 410.9512
Algorytm: AB; n: 18; b: 50; Czas: 408.6062
Algorytm: AB; n: 18; b: 50; Czas: 407.7827
Algorytm: AB; n: 18; b: 50; Czas: 403.7012
Algorytm: AB; n: 20; b: 50; Czas: 1813.3842
Algorytm: AB; n: 20; b: 50; Czas: 1823.7711
Algorytm: AB; n: 20; b: 50; Czas: 1809.8329
Algorytm: AB; n: 20; b: 50; Czas: 1833.4611
Algorytm: AB; n: 20; b: 50; Czas: 1869.2754
Algorytm: AB; n: 20; b: 50; Czas: 1886.0182
Algorytm: AB; n: 20; b: 50; Czas: 1892.2562
Algorytm: AB; n: 20; b: 50; Czas: 1865.8204
Algorytm: AB; n: 20; b: 50; Czas: 1844.9936
Algorytm: AB; n: 20; b: 50; Czas: 1841.7253
Algorytm: AB; n: 22; b: 50; Czas: 8473.2162
Algorytm: AB; n: 22; b: 50; Czas: 8181.1573
