Algorytm;N;B;Srednia_ms;Odchylenie_ms
AD;20;10;0.0432;0.0146
AD;20;20;0.0786;0.0243
AD;20;30;0.1158;0.0199
AD;20;40;0.1497;0.0222
AD;20;50;0.1920;0.0277
AD;20;60;0.2012;0.0237
AD;20;70;0.2523;0.0463
AD;20;80;0.2566;0.0206
AD;20;90;0.3069;0.0339
AD;20;100;0.3316;0.0185
AD;20;110;0.3651;0.0251
AD;20;120;0.4062;0.0334
AD;20;130;0.4285;0.0241
AD;20;140;0.4647;0.0254
AD;20;150;0.5014;0.0287
