Algorytm;N;B;Srednia_ms;Odchylenie_ms
AB;4;50;0.0133;0.0026
AB;6;50;0.0426;0.0008
AB;8;50;0.1998;0.0320
AB;10;50;0.9180;0.0172
AB;12;50;4.4066;0.1452
AB;14;50;20.3358;0.3397
AB;16;50;91.7227;0.9217
AB;18;50;410.8849;4.3598
AB;20;50;1848.0538;29.2042
AB;22;50;7987.6401;211.3097
AB;24;50;34376.8590;437.6699
