Algorytm;N;B;Srednia_ms;Odchylenie_ms
AB;20;10;1824.9861;86.7681
AB;20;20;1794.5002;26.7572
AB;20;30;1793.6428;75.1739
AB;20;40;1790.2542;37.0740
AB;20;50;1808.4946;68.2065
AB;20;60;1823.2009;98.8453
AB;20;70;1838.3654;77.9753
AB;20;80;1862.6398;92.5856
AB;20;90;1835.7295;41.7032
AB;20;100;1859.7686;69.0240
AB;20;110;1836.8049;82.4431
AB;20;120;1811.1708;46.7734
AB;20;130;1827.3529;101.8742
AB;20;140;1803.6624;44.4339
AB;20;150;1832.2367;98.1790
