Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
SEC;nieskierowany;3;0.10;0.0036;0.0013;0.00
SEC;skierowany;3;0.10;0.0030;0.0001;0.00
SEC;nieskierowany;3;0.20;0.0041;0.0029;0.00
SEC;skierowany;3;0.20;0.0045;0.0027;0.00
SEC;nieskierowany;3;0.30;0.0024;0.0004;0.00
SEC;skierowany;3;0.30;0.0038;0.0010;0.00
SEC;nieskierowany;3;0.40;0.0044;0.0018;0.00
SEC;skierowany;3;0.40;0.0043;0.0015;0.60
SEC;nieskierowany;3;0.50;0.0030;0.0008;0.00
SEC;skierowany;3;0.50;0.0046;0.0015;1.40
SEC;nieskierowany;3;0.60;0.0036;0.0009;0.00
SEC;skierowany;3;0.60;0.0053;0.0020;1.40
SEC;nieskierowany;3;0.70;0.0040;0.0008;1.00
SEC;skierowany;3;0.70;0.0061;0.0008;3.60
SEC;nieskierowany;3;0.80;0.0040;0.0009;1.20
SEC;skierowany;3;0.80;0.0067;0.0021;2.40
SEC;nieskierowany;3;0.90;0.0052;0.0021;0.60
SEC;skierowany;3;0.90;0.0101;0.0031;6.60
SEC;nieskierowany;4;0.10;0.0031;0.0015;0.00
SEC;skierowany;4;0.10;0.0033;0.0003;0.00
SEC;nieskierowany;4;0.20;0.0044;0.0008;0.00
SEC;skierowany;4;0.20;0.0043;0.0014;0.30
SEC;nieskierowany;4;0.30;0.0038;0.0006;0.00
SEC;skierowany;4;0.30;0.0042;0.0012;0.80
SEC;nieskierowany;4;0.40;0.0045;0.0007;0.50
SEC;skierowany;4;0.40;0.0083;0.0037;1.90
SEC;nieskierowany;4;0.50;0.0071;0.0009;1.50
SEC;skierowany;4;0.50;0.0138;0.0053;10.20
SEC;nieskierowany;4;0.60;0.0043;0.0009;1.20
SEC;skierowany;4;0.60;0.0177;0.0083;14.20
SEC;nieskierowany;4;0.70;0.0078;0.0032;1.60
SEC;skierowany;4;0.70;0.0387;0.0191;31.00
SEC;nieskierowany;4;0.80;0.0350;0.0814;4.10
SEC;skierowany;4;0.80;0.0549;0.0360;52.00
SEC;nieskierowany;4;0.90;0.0189;0.0105;10.80
SEC;skierowany;4;0.90;0.1460;0.1520;139.40
SEC;nieskierowany;5;0.10;0.0035;0.0005;0.00
SEC;skierowany;5;0.10;0.0040;0.0009;0.40
SEC;nieskierowany;5;0.20;0.0040;0.0011;0.50
SEC;skierowany;5;0.20;0.0065;0.0014;1.70
SEC;nieskierowany;5;0.30;0.0067;0.0015;1.80
SEC;skierowany;5;0.30;0.0081;0.0073;2.20
SEC;nieskierowany;5;0.40;0.0060;0.0023;2.00
SEC;skierowany;5;0.40;0.0224;0.0135;9.40
SEC;nieskierowany;5;0.50;0.0171;0.0030;9.80
SEC;skierowany;5;0.50;0.0960;0.0623;64.30
SEC;nieskierowany;5;0.60;0.0254;0.0117;18.90
SEC;skierowany;5;0.60;0.5335;0.3985;431.30
SEC;nieskierowany;5;0.70;0.0473;0.0402;33.90
SEC;skierowany;5;0.70;4.5722;3.5670;3607.00
SEC;nieskierowany;5;0.80;0.2168;0.1336;160.50
SEC;skierowany;5;0.80;65.1945;39.0354;51722.10
SEC;nieskierowany;5;0.90;0.3408;0.2858;393.70
SEC;skierowany;5;0.90;1136.0992;439.0323;881902.00
SEC;nieskierowany;6;0.10;0.0046;0.0010;0.00
SEC;skierowany;6;0.10;0.0058;0.0021;0.50
SEC;nieskierowany;6;0.20;0.0076;0.0024;1.30
SEC;skierowany;6;0.20;0.0091;0.0062;3.00
SEC;nieskierowany;6;0.30;0.0086;0.0042;3.70
SEC;skierowany;6;0.30;0.0318;0.0405;19.10
SEC;nieskierowany;6;0.40;0.0126;0.0046;9.20
SEC;skierowany;6;0.40;0.1509;0.1668;116.80
SEC;nieskierowany;6;0.50;0.0367;0.0164;26.50
SEC;skierowany;6;0.50;1.2968;0.9883;1003.90
SEC;nieskierowany;6;0.60;0.1753;0.1509;159.40
SEC;skierowany;6;0.60;138.6527;120.1051;100223.50
SEC;nieskierowany;6;0.70;0.5705;0.3214;540.80
SEC;skierowany;6;0.70;1354.3779;2347.9125;956802.70
SEC;nieskierowany;6;0.80;7.9796;0.6632;8314.40
SEC;skierowany;6;0.80;206968.4105;144058.9233;148020658.30
