Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
DEC;skierowany;300;0.10;0.1298;0.0135;0.00
DEC;nieskierowany;300;0.20;0.0596;0.0408;0.00
DEC;skierowany;300;0.20;0.1452;0.0327;0.00
DEC;nieskierowany;300;0.30;0.0459;0.0224;0.00
DEC;skierowany;300;0.30;0.1411;0.0058;0.00
DEC;nieskierowany;300;0.40;0.0667;0.0292;0.00
DEC;skierowany;300;0.40;0.1467;0.0080;0.00
DEC;nieskierowany;300;0.50;0.0555;0.0453;0.00
DEC;skierowany;300;0.50;0.1770;0.0489;0.00
DEC;nieskierowany;300;0.60;0.0769;0.0501;0.00
DEC;skierowany;300;0.60;0.1716;0.0415;0.00
DEC;nieskierowany;300;0.70;0.0533;0.0208;0.00
DEC;skierowany;300;0.70;0.1834;0.0427;0.00
DEC;nieskierowany;300;0.80;0.0662;0.0270;0.00
DEC;skierowany;300;0.80;0.1813;0.0100;0.00
DEC;nieskierowany;300;0.90;0.0547;0.0237;0.00
DEC;skierowany;300;0.90;0.2342;0.0808;0.00
DEC;nieskierowany;350;0.10;0.0562;0.0370;0.00
DEC;skierowany;350;0.10;0.1952;0.0533;0.00
DEC;nieskierowany;350;0.20;0.0543;0.0275;0.00
DEC;skierowany;350;0.20;0.1678;0.0176;0.00
DEC;nieskierowany;350;0.30;0.0504;0.0297;0.00
DEC;skierowany;350;0.30;0.1703;0.0089;0.00
DEC;nieskierowany;350;0.40;0.0514;0.0236;0.00
DEC;skierowany;350;0.40;0.1736;0.0053;0.00
DEC;nieskierowany;350;0.50;0.0565;0.0238;0.00
DEC;skierowany;350;0.50;0.2082;0.0315;0.00
DEC;nieskierowany;350;0.60;0.0666;0.0282;0.00
DEC;skierowany;350;0.60;0.1937;0.0053;0.00
DEC;nieskierowany;350;0.70;0.0641;0.0188;0.00
DEC;skierowany;350;0.70;0.2106;0.0183;0.00
DEC;nieskierowany;350;0.80;0.0823;0.0379;0.00
DEC;skierowany;350;0.80;0.2191;0.0201;0.00
DEC;nieskierowany;350;0.90;0.1380;0.1246;0.00
DEC;skierowany;350;0.90;0.2526;0.0683;0.00
DEC;nieskierowany;400;0.10;0.0630;0.0323;0.00
DEC;skierowany;400;0.10;0.1958;0.0483;0.00
DEC;nieskierowany;400;0.20;0.0925;0.0615;0.00
DEC;skierowany;400;0.20;0.1925;0.0046;0.00
DEC;nieskierowany;400;0.30;0.1058;0.0345;0.00
DEC;skierowany;400;0.30;0.2269;0.0653;0.00
DEC;nieskierowany;400;0.40;0.0687;0.0332;0.00
DEC;skierowany;400;0.40;0.2058;0.0098;0.00
DEC;nieskierowany;400;0.50;0.1145;0.0439;0.00
DEC;skierowany;400;0.50;0.2709;0.1658;0.00
DEC;nieskierowany;400;0.60;0.0789;0.0564;0.00
DEC;skierowany;400;0.60;0.2302;0.0081;0.00
DEC;nieskierowany;400;0.70;0.1314;0.0670;0.00
DEC;skierowany;400;0.70;0.2408;0.0133;0.00
DEC;nieskierowany;400;0.80;0.0779;0.0269;0.00
DEC;skierowany;400;0.80;0.2484;0.0095;0.00
DEC;nieskierowany;400;0.90;0.0921;0.0618;0.00
DEC;skierowany;400;0.90;0.2639;0.0066;0.00
DEC;nieskierowany;450;0.10;0.0984;0.0732;0.00
DEC;skierowany;450;0.10;0.2193;0.0167;0.00
DEC;nieskierowany;450;0.20;0.0711;0.0362;0.00
DEC;skierowany;450;0.20;0.2562;0.1143;0.00
DEC;nieskierowany;450;0.30;0.0711;0.0340;0.00
DEC;skierowany;450;0.30;0.2384;0.0325;0.00
DEC;nieskierowany;450;0.40;0.0988;0.0542;0.00
DEC;skierowany;450;0.40;0.2370;0.0054;0.00
DEC;nieskierowany;450;0.50;0.0945;0.0584;0.00
DEC;skierowany;450;0.50;0.2518;0.0145;0.00
DEC;nieskierowany;450;0.60;0.1327;0.1130;0.00
DEC;skierowany;450;0.60;0.3069;0.1321;0.00
DEC;nieskierowany;450;0.70;0.0801;0.0313;0.00
DEC;skierowany;450;0.70;0.2958;0.0663;0.00
DEC;nieskierowany;450;0.80;0.0731;0.0334;0.00
DEC;skierowany;450;0.80;0.2848;0.0052;0.00
DEC;nieskierowany;450;0.90;0.1141;0.0682;0.00
DEC;skierowany;450;0.90;0.3201;0.0489;0.00
DEC;nieskierowany;500;0.10;0.1040;0.0566;0.00
DEC;skierowany;500;0.10;0.2931;0.1208;0.00
DEC;nieskierowany;500;0.20;0.1129;0.0577;0.00
DEC;skierowany;500;0.20;0.2764;0.0611;0.00
DEC;nieskierowany;500;0.30;0.0868;0.0650;0.00
DEC;skierowany;500;0.30;0.3015;0.0868;0.00
DEC;nieskierowany;500;0.40;0.0742;0.0251;0.00
DEC;skierowany;500;0.40;0.2992;0.1009;0.00
DEC;nieskierowany;500;0.50;0.0897;0.0727;0.00
DEC;skierowany;500;0.50;0.2914;0.0316;0.00
DEC;nieskierowany;500;0.60;0.1038;0.0681;0.00
DEC;skierowany;500;0.60;0.3615;0.1000;0.00
DEC;nieskierowany;500;0.70;0.1042;0.0547;0.00
DEC;skierowany;500;0.70;0.3035;0.0105;0.00
DEC;nieskierowany;500;0.80;0.0797;0.0422;0.00
DEC;skierowany;500;0.80;0.3160;0.0061;0.00
DEC;nieskierowany;500;0.90;0.1371;0.0841;0.00
DEC;skierowany;500;0.90;0.3501;0.0311;0.00
