Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
SHC;nieskierowany;2;0.10;0.0030;0.0017;1.00
SHC;skierowany;2;0.10;0.0024;0.0001;1.00
SHC;nieskierowany;2;0.20;0.0025;0.0004;1.00
SHC;skierowany;2;0.20;0.0026;0.0002;1.00
SHC;nieskierowany;2;0.30;0.0022;0.0002;1.00
SHC;skierowany;2;0.30;0.0024;0.0001;1.00
SHC;nieskierowany;2;0.40;0.0022;0.0001;1.00
SHC;skierowany;2;0.40;0.0023;0.0001;1.00
SHC;nieskierowany;2;0.50;0.0023;0.0002;1.00
SHC;skierowany;2;0.50;0.0032;0.0010;1.60
SHC;nieskierowany;2;0.60;0.0025;0.0011;1.00
SHC;skierowany;2;0.60;0.0028;0.0005;1.30
SHC;nieskierowany;2;0.70;0.0025;0.0009;1.00
SHC;skierowany;2;0.70;0.0028;0.0006;1.30
SHC;nieskierowany;2;0.80;0.0021;0.0001;1.00
SHC;skierowany;2;0.80;0.0029;0.0007;1.30
SHC;nieskierowany;2;0.90;0.0021;0.0001;1.00
SHC;skierowany;2;0.90;0.0031;0.0004;1.70
SHC;nieskierowany;4;0.10;0.0032;0.0012;1.00
SHC;skierowany;4;0.10;0.0028;0.0005;1.10
SHC;nieskierowany;4;0.20;0.0031;0.0010;1.50
SHC;skierowany;4;0.20;0.0038;0.0010;1.70
SHC;nieskierowany;4;0.30;0.0027;0.0006;1.50
SHC;skierowany;4;0.30;0.0042;0.0016;1.70
SHC;nieskierowany;4;0.40;0.0039;0.0008;2.70
SHC;skierowany;4;0.40;0.0050;0.0014;2.70
SHC;nieskierowany;4;0.50;0.0047;0.0007;4.20
SHC;skierowany;4;0.50;0.0073;0.0013;5.00
SHC;nieskierowany;4;0.60;0.0045;0.0005;4.10
SHC;skierowany;4;0.60;0.0065;0.0023;3.50
SHC;nieskierowany;4;0.70;0.0054;0.0023;3.10
SHC;skierowany;4;0.70;0.0057;0.0011;1.40
SHC;nieskierowany;4;0.80;0.0048;0.0012;3.70
SHC;skierowany;4;0.80;0.0049;0.0010;0.30
SHC;nieskierowany;4;0.90;0.0040;0.0012;0.80
SHC;skierowany;4;0.90;0.0069;0.0024;1.80
SHC;nieskierowany;6;0.10;0.0046;0.0051;1.50
SHC;skierowany;6;0.10;0.0045;0.0015;1.50
SHC;nieskierowany;6;0.20;0.0040;0.0010;2.70
SHC;skierowany;6;0.20;0.0084;0.0039;3.70
SHC;nieskierowany;6;0.30;0.0048;0.0015;3.60
SHC;skierowany;6;0.30;0.0113;0.0080;6.50
SHC;nieskierowany;6;0.40;0.0124;0.0035;11.20
SHC;skierowany;6;0.40;0.0149;0.0068;8.40
SHC;nieskierowany;6;0.50;0.0134;0.0043;13.40
SHC;skierowany;6;0.50;0.0241;0.0156;14.80
SHC;nieskierowany;6;0.60;0.0238;0.0119;26.60
SHC;skierowany;6;0.60;0.0153;0.0094;6.70
SHC;nieskierowany;6;0.70;0.0123;0.0152;8.20
SHC;skierowany;6;0.70;0.0157;0.0076;6.60
SHC;nieskierowany;6;0.80;0.0111;0.0074;5.90
SHC;skierowany;6;0.80;0.0093;0.0043;1.80
SHC;nieskierowany;6;0.90;0.0065;0.0025;0.90
SHC;skierowany;6;0.90;0.0075;0.0008;0.20
SHC;nieskierowany;8;0.10;0.0037;0.0012;1.40
SHC;skierowany;8;0.10;0.0058;0.0013;2.20
SHC;nieskierowany;8;0.20;0.0068;0.0025;5.30
SHC;skierowany;8;0.20;0.0112;0.0068;5.40
SHC;nieskierowany;8;0.30;0.0174;0.0070;15.40
SHC;skierowany;8;0.30;0.0309;0.0195;17.90
SHC;nieskierowany;8;0.40;0.0406;0.0153;39.60
SHC;skierowany;8;0.40;0.0586;0.0516;31.80
SHC;nieskierowany;8;0.50;0.1001;0.0723;98.80
SHC;skierowany;8;0.50;0.0635;0.0712;35.10
SHC;nieskierowany;8;0.60;0.0301;0.0328;25.10
SHC;skierowany;8;0.60;0.0256;0.0318;9.60
SHC;nieskierowany;8;0.70;0.0159;0.0102;9.50
SHC;skierowany;8;0.70;0.0235;0.0245;10.10
SHC;nieskierowany;8;0.80;0.0114;0.0070;5.10
SHC;skierowany;8;0.80;0.0128;0.0033;1.70
SHC;nieskierowany;8;0.90;0.0066;0.0006;0.20
SHC;skierowany;8;0.90;0.0104;0.0003;0.00
SHC;nieskierowany;10;0.10;0.0046;0.0020;2.70
SHC;skierowany;10;0.10;0.0066;0.0046;2.30
SHC;nieskierowany;10;0.20;0.0169;0.0086;13.40
SHC;skierowany;10;0.20;0.0456;0.0266;22.80
SHC;nieskierowany;10;0.30;0.0813;0.0374;68.10
SHC;skierowany;10;0.30;0.1792;0.1787;92.60
SHC;nieskierowany;10;0.40;0.2537;0.2489;221.40
SHC;skierowany;10;0.40;0.5982;0.5480;312.80
SHC;nieskierowany;10;0.50;0.6028;1.0330;513.00
SHC;skierowany;10;0.50;0.1921;0.4016;91.30
SHC;nieskierowany;10;0.60;0.0268;0.0221;16.60
SHC;skierowany;10;0.60;0.0243;0.0142;6.00
SHC;nieskierowany;10;0.70;3.9184;12.2925;3309.00
SHC;skierowany;10;0.70;0.0614;0.1021;23.90
SHC;nieskierowany;10;0.80;0.0163;0.0185;1.20
SHC;skierowany;10;0.80;0.0155;0.0025;0.60
SHC;nieskierowany;10;0.90;0.0091;0.0005;0.00
SHC;skierowany;10;0.90;0.0163;0.0029;0.80
SHC;nieskierowany;12;0.10;0.0066;0.0030;3.70
SHC;skierowany;12;0.10;0.0126;0.0080;4.10
SHC;nieskierowany;12;0.20;0.0638;0.0140;49.20
SHC;skierowany;12;0.20;0.1696;0.1320;74.90
SHC;nieskierowany;12;0.30;0.6287;0.2744;479.30
SHC;skierowany;12;0.30;0.9068;0.7597;398.90
SHC;nieskierowany;12;0.40;5.3801;4.9527;4090.40
SHC;skierowany;12;0.40;3.1141;6.2105;1395.90
SHC;nieskierowany;12;0.50;0.0860;0.1041;55.60
SHC;skierowany;12;0.50;0.7702;1.9608;346.60
SHC;nieskierowany;12;0.60;0.0295;0.0257;13.60
SHC;skierowany;12;0.60;0.0646;0.0761;21.20
SHC;nieskierowany;12;0.70;0.0353;0.0532;15.60
SHC;skierowany;12;0.70;0.0297;0.0207;5.70
SHC;nieskierowany;12;0.80;0.0166;0.0095;3.40
SHC;skierowany;12;0.80;0.0231;0.0105;2.00
SHC;nieskierowany;12;0.90;0.0164;0.0099;4.20
SHC;skierowany;12;0.90;0.0232;0.0075;1.80
SHC;nieskierowany;14;0.10;0.0131;0.0070;7.70
SHC;skierowany;14;0.10;0.0125;0.0100;4.00
SHC;nieskierowany;14;0.20;0.3090;0.1203;212.70
SHC;skierowany;14;0.20;0.8171;0.5908;322.40
SHC;nieskierowany;14;0.30;5.3105;4.7281;3649.00
SHC;skierowany;14;0.30;9.6218;15.7734;3677.00
SHC;nieskierowany;14;0.40;29.5793;86.9917;20044.50
SHC;skierowany;14;0.40;1.9426;4.9553;785.90
SHC;nieskierowany;14;0.50;10.3478;32.3750;6853.90
SHC;skierowany;14;0.50;0.3811;0.7431;147.80
SHC;nieskierowany;14;0.60;0.0344;0.0326;16.30
SHC;skierowany;14;0.60;0.0658;0.0749;17.40
SHC;nieskierowany;14;0.70;0.0256;0.0182;7.90
SHC;skierowany;14;0.70;0.0299;0.0084;2.80
SHC;nieskierowany;14;0.80;0.0197;0.0119;3.90
SHC;skierowany;14;0.80;0.0242;0.0014;0.40
SHC;nieskierowany;14;0.90;0.0159;0.0047;0.90
SHC;skierowany;14;0.90;0.0256;0.0040;0.40
SHC;nieskierowany;16;0.10;0.0325;0.0199;19.10
SHC;skierowany;16;0.10;0.0444;0.0480;14.90
SHC;nieskierowany;16;0.20;2.2093;0.6460;1393.50
SHC;skierowany;16;0.20;5.1307;2.6621;1694.40
SHC;nieskierowany;16;0.30;166.4497;111.8585;103437.20
SHC;skierowany;16;0.30;78.2871;134.6036;27392.60
SHC;nieskierowany;16;0.40;1038.3728;3030.8211;635011.70
SHC;skierowany;16;0.40;10.0036;21.6163;3547.60
SHC;nieskierowany;16;0.50;0.5460;0.9464;322.80
SHC;skierowany;16;0.50;0.0457;0.0202;6.40
SHC;nieskierowany;16;0.60;0.0305;0.0197;8.10
SHC;skierowany;16;0.60;0.0428;0.0175;5.90
SHC;nieskierowany;16;0.70;0.0239;0.0101;3.70
SHC;skierowany;16;0.70;0.0362;0.0126;2.80
SHC;nieskierowany;16;0.80;0.0226;0.0111;4.20
