Operacja: tworzenie; Typ: random; n: 45000; Czas: 9.0680 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 8.9375 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 8.7862 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 9.1744 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 12.0119 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 11.9087 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 11.1839 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.1559 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.5854 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.2636 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.1270 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.5475 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.3651 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 9.2386 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4702 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.5997 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4527 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4355 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4190 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4398 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4007 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.3998 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.4617 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 0.3951 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.8248 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.7839 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.8251 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.9072 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 1.0659 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.9364 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 1.2767 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.8593 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.8314 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 0.9230 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.1679 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.3264 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.1803 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.2103 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.1897 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.3014 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.1639 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.2203 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.4585 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 1.2362 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.5477 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.5928 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6157 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.5375 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6119 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6593 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6760 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6949 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6024 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 1.6249 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 1.9122 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 2.0002 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 2.0061 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 1.8487 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 2.0089 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 1.9492 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 2.0017 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 1.9484 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 1.9867 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 2.3989 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.5221 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.3368 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.5385 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.5016 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.4296 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.4847 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.4466 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.2646 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.2860 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 2.1865 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 3.0778 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.6508 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.7740 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.5881 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.7527 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.7512 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.6379 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.8901 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.6585 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 2.7028 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 2.9794 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.1922 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.1661 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.0762 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.5143 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.1755 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.0949 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.5534 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.0503 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 3.1437 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.6769 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.5370 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.5028 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.8932 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.3882 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.5178 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.4313 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.3508 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.4412 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 3.6225 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.6664 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.9193 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.9695 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.8030 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 4.4103 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.8970 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 4.0225 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 4.2792 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.7308 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 3.9514 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1572 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1616 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1350 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1429 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1516 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.2460 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1511 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1448 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.3797 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.1473 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 2.3062 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 2.2921 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 2.5302 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 2.3348 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.2681 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.3585 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.6596 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 2.7089 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.1802 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.6736 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.1431 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 3.5731 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 4.1488 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 4.4714 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 4.0023 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 4.0339 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 4.3863 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 3.9758 ms;
