Operacja: max; Typ: random; n: 256000; Czas: 2.3959 ms;
Operacja: max; Typ: random; n: 256000; Czas: 2.9944 ms;
Operacja: max; Typ: random; n: 256000; Czas: 2.3214 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0146 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0104 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0081 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0083 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0087 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0077 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0073 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0076 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0084 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0087 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0097 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0100 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0116 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0107 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0086 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0133 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0087 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0083 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0132 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0111 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0210 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0332 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0182 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0381 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0166 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0158 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0176 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0140 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0163 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0148 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0204 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0283 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0376 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0270 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0194 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0353 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0432 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0556 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0391 ms;
Operacja: max; Typ: growing; n: 4000; Czas: 0.0638 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.1031 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0784 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0764 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0421 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0618 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0942 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0604 ms;
Operacja: max; Typ: growing; n: 8000; Czas: 0.0904 ms;
