Operacja: rownowazenie; Typ: random; n: 128000; Czas: 30.9085 ms;
Operacja: rownowazenie; Typ: random; n: 128000; Czas: 28.4363 ms;
Operacja: rownowazenie; Typ: random; n: 128000; Czas: 27.4273 ms;
Operacja: rownowazenie; Typ: random; n: 128000; Czas: 50.9593 ms;
Operacja: rownowazenie; Typ: random; n: 128000; Czas: 38.1787 ms;
Operacja: rownowazenie; Typ: random; n: 128000; Czas: 45.4918 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 198.9139 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 68.2708 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 84.4458 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 66.2684 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 88.7474 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 89.7539 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 115.9050 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 183.0310 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 100.5645 ms;
Operacja: rownowazenie; Typ: random; n: 256000; Czas: 87.6095 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0466 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0438 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0416 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0483 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0413 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0459 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0552 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.1087 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0860 ms;
Operacja: rownowazenie; Typ: growing; n: 500; Czas: 0.0942 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.1935 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.1126 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.1069 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.1001 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.0955 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.0800 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.0820 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.0928 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.0756 ms;
Operacja: rownowazenie; Typ: growing; n: 1000; Czas: 0.0861 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.1486 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.1815 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.1712 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.1665 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.2061 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.2030 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.1769 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.4889 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.5836 ms;
Operacja: rownowazenie; Typ: growing; n: 2000; Czas: 0.1950 ms;
