Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.6012 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.5887 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.1767 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.5968 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.3705 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.4752 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.5202 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.3131 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.7841 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 3.5265 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 7.5608 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 10.7394 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 7.2570 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 8.2522 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 7.2467 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 10.9936 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 8.3507 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 8.8610 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 9.3082 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 9.8308 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 16.3152 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.5643 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.3806 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.4212 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 12.2952 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 12.3507 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.5315 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 14.5876 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.6575 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.2381 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 15.8517 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 19.4420 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 18.9477 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 16.2048 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 15.6379 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 15.6230 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 15.5986 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 19.6145 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 16.1744 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 16.3623 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 21.4848 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 24.9671 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 27.4938 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 31.1463 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 25.6389 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 28.2334 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 23.0103 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 20.7113 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 21.3993 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 22.9418 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 25.6815 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 25.9289 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 30.7777 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 27.2440 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 26.8128 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 28.6409 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 26.5131 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 32.3989 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 35.4751 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 24.7969 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 32.9706 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 38.4542 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 32.6424 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 35.8367 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 39.1499 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 31.6044 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 35.6120 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 35.4955 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 32.0098 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 62.7825 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 44.1870 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 40.0980 ms;
