Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.7881 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.6967 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.6053 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.6193 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.7402 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.7047 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 1.0493 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.6194 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.6702 ms;
Operacja: rownowazenie; Typ: random; n: 5000; Czas: 0.6686 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.2278 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.3753 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.3695 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.2165 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 2.5134 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 3.4030 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 2.8028 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.8024 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.9550 ms;
Operacja: rownowazenie; Typ: random; n: 10000; Czas: 1.5510 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 2.1540 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 1.9316 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 1.9296 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 2.1698 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 1.8503 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 1.8905 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 2.0769 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 1.9049 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 2.0974 ms;
Operacja: rownowazenie; Typ: random; n: 15000; Czas: 1.8878 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.6385 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.5887 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.6908 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.6543 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.6910 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.8177 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.9593 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 3.1514 ms;
Operacja: rownowazenie; Typ: random; n: 20000; Czas: 2.9346 ms;
