Operacja: max; Typ: random; n: 256000; Czas: 0.0040 ms;
Operacja: max; Typ: random; n: 256000; Czas: 0.0034 ms;
Operacja: max; Typ: random; n: 256000; Czas: 0.0035 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0017 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0014 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0009 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0014 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0019 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0019 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0008 ms;
Operacja: max; Typ: growing; n: 500; Czas: 0.0016 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0016 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0011 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0008 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0013 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0010 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0015 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0009 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 1000; Czas: 0.0015 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0011 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0015 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0013 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0026 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0011 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0010 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0010 ms;
Operacja: max; Typ: growing; n: 2000; Czas: 0.0014 ms;
