Operacja: tworzenie; Typ: random; n: 500; Czas: 0.3347 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2714 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2675 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2629 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2707 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2658 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2836 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2675 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2607 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2678 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5979 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.4799 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5716 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 1.3115 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 3.6947 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.4699 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5738 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5287 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5214 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.4695 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 0.8550 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 0.8361 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 0.8257 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.0113 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 0.9341 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 0.9350 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.0415 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.2282 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 0.9246 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.0502 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 1.8912 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 1.8771 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.3298 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 1.9119 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.2899 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.1297 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.1453 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 1.8219 ms;
