Operacja: max; Typ: random; n: 50000; Czas: 0.0023 ms;
Operacja: max; Typ: random; n: 50000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 50000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 50000; Czas: 0.0012 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.0913 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.0852 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.1561 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.1187 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.1986 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.1307 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.1701 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.1485 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.0851 ms;
Operacja: max; Typ: growing; n: 5000; Czas: 0.0870 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1315 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1665 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.2537 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.3734 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.4699 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1694 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1704 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1873 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1945 ms;
Operacja: max; Typ: growing; n: 10000; Czas: 0.1431 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.2375 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.1995 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.4355 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.1911 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.2386 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.2409 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.2400 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.2239 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.3440 ms;
Operacja: max; Typ: growing; n: 15000; Czas: 0.7787 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.3322 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.4526 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.8551 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.5913 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.8765 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.9533 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.2699 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.9134 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.9558 ms;
Operacja: max; Typ: growing; n: 20000; Czas: 0.7639 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 1.2268 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 1.2369 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.9930 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.3912 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.4030 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.8236 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.3716 ms;
Operacja: max; Typ: growing; n: 25000; Czas: 0.3630 ms;
