Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Lista Nastepnikow;1000;0.10;71.6864;0.7652
sortowanie;Lista Nastepnikow;1000;0.20;79.6654;1.6343
sortowanie;Lista Nastepnikow;1000;0.30;94.5911;12.0333
sortowanie;Lista Nastepnikow;1000;0.40;99.4189;1.5008
sortowanie;Lista Nastepnikow;1000;0.50;108.8208;1.9549
sortowanie;Lista Nastepnikow;1000;0.60;119.1246;2.4091
sortowanie;Lista Nastepnikow;1000;0.70;127.5050;2.1611
sortowanie;Lista Nastepnikow;1000;0.80;137.1089;1.6574
sortowanie;Lista Nastepnikow;1000;0.90;151.8903;12.2567
