Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0174 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0168 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0075 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0186 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0072 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0124 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.40; Czas: 0.0075 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0232 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0219 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0404 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0224 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0222 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0402 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0216 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0219 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0219 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.40; Czas: 0.0216 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0080 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0076 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0079 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0282 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0279 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0076 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0076 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0125 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0072 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.50; Czas: 0.0178 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0226 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0215 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0228 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0228 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0223 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0214 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0223 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0233 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0232 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.50; Czas: 0.0221 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0082 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0076 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0131 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0077 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0082 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0077 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0131 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0185 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0340 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.60; Czas: 0.0173 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0226 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0228 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0220 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0224 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0235 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0223 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0222 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0220 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0227 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.60; Czas: 0.0228 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0295 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0081 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0078 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0079 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0342 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0076 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0182 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0285 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0130 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.70; Czas: 0.0128 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0225 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0233 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0221 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0225 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0227 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0232 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0225 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0230 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0230 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.70; Czas: 0.0231 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0082 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0192 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0138 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0135 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0138 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0351 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0139 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0256 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0084 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.80; Czas: 0.0092 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0321 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0233 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0227 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0237 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0251 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0234 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0231 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0237 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0242 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.80; Czas: 0.0243 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0145 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0156 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0152 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0327 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0148 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0196 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0135 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0080 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0136 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.90; Czas: 0.0080 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0244 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0239 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0271 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0431 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0255 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0248 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0257 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0245 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0246 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.90; Czas: 0.0441 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0111 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0110 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0108 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0364 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0112 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0112 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0193 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0362 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0104 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.10; Czas: 0.0106 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0458 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0426 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0379 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0422 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0723 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0424 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0396 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0392 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0400 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.10; Czas: 0.0412 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0119 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0117 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0197 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0206 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0116 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0290 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0283 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0124 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0122 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.20; Czas: 0.0116 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0407 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0430 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0409 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0408 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0427 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0420 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0409 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0397 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0415 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.20; Czas: 0.0434 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0403 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0120 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0301 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0116 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0300 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0210 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0117 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0208 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0113 ms;
Operacja: DEC; Typ: nieskierowany; n: 100; Nasycenie: 0.30; Czas: 0.0298 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0423 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0429 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0408 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0403 ms;
Operacja: DEC; Typ: skierowany; n: 100; Nasycenie: 0.30; Czas: 0.0400 ms;
