Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0067 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0046 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0035 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0033 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0036 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0032 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0038 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0078 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0033 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.10; Czas: 0.0025 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0068 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0043 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0031 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0029 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0028 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0029 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0038 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0027 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0038 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.10; Czas: 0.0045 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0027 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0064 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0031 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0025 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0091 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0030 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0027 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0025 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0025 ms; Backtracki: 1;
Operacja: SHC; Typ: nieskierowany; n: 3; Nasycenie: 0.20; Czas: 0.0055 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.20; Czas: 0.0031 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.20; Czas: 0.0033 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.20; Czas: 0.0027 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.20; Czas: 0.0028 ms; Backtracki: 1;
Operacja: SHC; Typ: skierowany; n: 3; Nasycenie: 0.20; Czas: 0.0026 ms; Backtracki: 1;
