Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0003 ms;
