Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Macierz Sasiedztwa;1000;0.10;41.8693;0.8968
sortowanie;Macierz Sasiedztwa;1000;0.20;46.8723;0.2634
sortowanie;Macierz Sasiedztwa;1000;0.30;53.2334;1.6502
sortowanie;Macierz Sasiedztwa;1000;0.40;58.4789;0.6708
sortowanie;Macierz Sasiedztwa;1000;0.50;64.1703;2.0820
sortowanie;Macierz Sasiedztwa;1000;0.60;67.8319;2.4883
sortowanie;Macierz Sasiedztwa;1000;0.70;75.2285;10.2096
sortowanie;Macierz Sasiedztwa;1000;0.80;74.7262;2.9475
sortowanie;Macierz Sasiedztwa;1000;0.90;77.3199;1.4861
